date,date_id,date_name,day,day_number_of_year,days_in_month,first_day_of_month,first_day_of_month_id,is_leap_year,is_weekday,iso_day,iso_day_id,iso_last_year_day_id,iso_week,iso_week_id,iso_year,iso_year_id,last_day_of_month,last_day_of_month_id,month,month_id,month_name,previous_day_id,previous_month_id,previous_quarter_id,previous_year_id,quarter,quarter_id,short_month_name,weekday,year,year_id
2017-01-24,20170124,"January 24, 2017",24,24,31,2017-01-01,20170101,0,1,2,2017042,2016042,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170123,201612,20164,2016,1,20171,Jan,2,2017,2017
2017-01-25,20170125,"January 25, 2017",25,25,31,2017-01-01,20170101,0,1,3,2017043,2016043,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170124,201612,20164,2016,1,20171,Jan,3,2017,2017
2017-01-26,20170126,"January 26, 2017",26,26,31,2017-01-01,20170101,0,1,4,2017044,2016044,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170125,201612,20164,2016,1,20171,Jan,4,2017,2017
2017-01-27,20170127,"January 27, 2017",27,27,31,2017-01-01,20170101,0,1,5,2017045,2016045,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170126,201612,20164,2016,1,20171,Jan,5,2017,2017
2017-01-28,20170128,"January 28, 2017",28,28,31,2017-01-01,20170101,0,0,6,2017046,2016046,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170127,201612,20164,2016,1,20171,Jan,6,2017,2017
2017-01-29,20170129,"January 29, 2017",29,29,31,2017-01-01,20170101,0,0,7,2017047,2016047,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170128,201612,20164,2016,1,20171,Jan,7,2017,2017
2017-01-30,20170130,"January 30, 2017",30,30,31,2017-01-01,20170101,0,1,1,2017051,2016051,5,201705,2017,2017,2017-01-31,20170131,1,201701,January,20170129,201612,20164,2016,1,20171,Jan,1,2017,2017
2017-01-31,20170131,"January 31, 2017",31,31,31,2017-01-01,20170101,0,1,2,2017052,2016052,5,201705,2017,2017,2017-01-31,20170131,1,201701,January,20170130,201612,20164,2016,1,20171,Jan,2,2017,2017
2017-02-01,20170201,"February 01, 2017",1,32,28,2017-02-01,20170201,0,1,3,2017053,2016053,5,201705,2017,2017,2017-02-28,20170228,2,201702,February,20170131,201701,20164,2016,1,20171,Feb,3,2017,2017
2017-02-02,20170202,"February 02, 2017",2,33,28,2017-02-01,20170201,0,1,4,2017054,2016054,5,201705,2017,2017,2017-02-28,20170228,2,201702,February,20170201,201701,20164,2016,1,20171,Feb,4,2017,2017
2017-02-03,20170203,"February 03, 2017",3,34,28,2017-02-01,20170201,0,1,5,2017055,2016055,5,201705,2017,2017,2017-02-28,20170228,2,201702,February,20170202,201701,20164,2016,1,20171,Feb,5,2017,2017
2017-02-04,20170204,"February 04, 2017",4,35,28,2017-02-01,20170201,0,0,6,2017056,2016056,5,201705,2017,2017,2017-02-28,20170228,2,201702,February,20170203,201701,20164,2016,1,20171,Feb,6,2017,2017
2017-02-05,20170205,"February 05, 2017",5,36,28,2017-02-01,20170201,0,0,7,2017057,2016057,5,201705,2017,2017,2017-02-28,20170228,2,201702,February,20170204,201701,20164,2016,1,20171,Feb,7,2017,2017
2017-02-06,20170206,"February 06, 2017",6,37,28,2017-02-01,20170201,0,1,1,2017061,2016061,6,201706,2017,2017,2017-02-28,20170228,2,201702,February,20170205,201701,20164,2016,1,20171,Feb,1,2017,2017
2017-02-07,20170207,"February 07, 2017",7,38,28,2017-02-01,20170201,0,1,2,2017062,2016062,6,201706,2017,2017,2017-02-28,20170228,2,201702,February,20170206,201701,20164,2016,1,20171,Feb,2,2017,2017
2017-02-08,20170208,"February 08, 2017",8,39,28,2017-02-01,20170201,0,1,3,2017063,2016063,6,201706,2017,2017,2017-02-28,20170228,2,201702,February,20170207,201701,20164,2016,1,20171,Feb,3,2017,2017
2017-02-09,20170209,"February 09, 2017",9,40,28,2017-02-01,20170201,0,1,4,2017064,2016064,6,201706,2017,2017,2017-02-28,20170228,2,201702,February,20170208,201701,20164,2016,1,20171,Feb,4,2017,2017
2017-02-10,20170210,"February 10, 2017",10,41,28,2017-02-01,20170201,0,1,5,2017065,2016065,6,201706,2017,2017,2017-02-28,20170228,2,201702,February,20170209,201701,20164,2016,1,20171,Feb,5,2017,2017
